# Gene lists for GeneChat seed data pipeline
# Columns: symbol, category
# Categories: acmg_sf, cancer, cardiac, neuro, carrier, pgx, metabolic, immune, gwas, trait, existing
# Source: ACMG SF v3.2 (2023), CPIC, ClinGen, OMIM, PGS Catalog
# ~400 genes organized by clinical category
symbol	category
# === ACMG Secondary Findings v3.2 (73 genes) ===
ACTA2	acmg_sf
ACTC1	acmg_sf
APC	acmg_sf
APOB	acmg_sf
ATP7B	acmg_sf
BMPR1A	acmg_sf
BRCA1	acmg_sf
BRCA2	acmg_sf
BTD	acmg_sf
CACNA1S	acmg_sf
CASQ2	acmg_sf
COL3A1	acmg_sf
DES	acmg_sf
DSC2	acmg_sf
DSG2	acmg_sf
DSP	acmg_sf
EPCAM	acmg_sf
FBN1	acmg_sf
FLNC	acmg_sf
GAA	acmg_sf
GLA	acmg_sf
HFE	acmg_sf
HNF1A	acmg_sf
KCNH2	acmg_sf
KCNQ1	acmg_sf
LDLR	acmg_sf
LMNA	acmg_sf
MAX	acmg_sf
MEN1	acmg_sf
MLH1	acmg_sf
MSH2	acmg_sf
MSH6	acmg_sf
MUTYH	acmg_sf
MYBPC3	acmg_sf
MYH11	acmg_sf
MYH7	acmg_sf
MYL2	acmg_sf
MYL3	acmg_sf
NF2	acmg_sf
OTC	acmg_sf
PALB2	acmg_sf
PCSK9	acmg_sf
PKP2	acmg_sf
PMS2	acmg_sf
PRKAG2	acmg_sf
PTEN	acmg_sf
RB1	acmg_sf
RET	acmg_sf
RPE65	acmg_sf
RYR1	acmg_sf
RYR2	acmg_sf
SCN5A	acmg_sf
SDHAF2	acmg_sf
SDHB	acmg_sf
SDHC	acmg_sf
SDHD	acmg_sf
SMAD3	acmg_sf
SMAD4	acmg_sf
STK11	acmg_sf
TGFBR1	acmg_sf
TGFBR2	acmg_sf
TMEM127	acmg_sf
TMEM43	acmg_sf
TNNI3	acmg_sf
TNNT2	acmg_sf
TP53	acmg_sf
TRDN	acmg_sf
TSC1	acmg_sf
TSC2	acmg_sf
VHL	acmg_sf
WT1	acmg_sf
TTN	acmg_sf
CALM1	acmg_sf
# === Additional cancer predisposition (10 genes) ===
HOXB13	cancer
FLCN	cancer
BAP1	cancer
CHEK2	cancer
ATM	cancer
CDH1	cancer
RAD51C	cancer
RAD51D	cancer
BRIP1	cancer
NBN	cancer
# === Additional cardiac (5 genes) ===
PLN	cardiac
TNNC1	cardiac
TPM1	cardiac
JUP	cardiac
CTNNA3	cardiac
# === Neurological (25 genes) ===
APP	neuro
PSEN1	neuro
PSEN2	neuro
MAPT	neuro
GRN	neuro
C9orf72	neuro
LRRK2	neuro
PARK7	neuro
PINK1	neuro
SNCA	neuro
GBA1	neuro
HTT	neuro
SOD1	neuro
FUS	neuro
TARDBP	neuro
COMT	neuro
OPRM1	neuro
BDNF	neuro
SLC6A4	neuro
DRD2	neuro
CACNA1A	neuro
NOTCH3	neuro
SCN1A	neuro
GCH1	neuro
SERPINA1	neuro
# === Expanded carrier screening (55 genes) ===
# Includes ACMG recommended + expanded panels
CFTR	carrier
HBB	carrier
SMN1	carrier
HEXA	carrier
FMR1	carrier
PAH	carrier
ASPA	carrier
GJB2	carrier
SLC26A4	carrier
BCKDHA	carrier
FANCC	carrier
BLM	carrier
MCOLN1	carrier
ABCC8	carrier
ACADM	carrier
ASL	carrier
CLN3	carrier
DHCR7	carrier
DYNC1H1	carrier
ELP1	carrier
ERCC6	carrier
FANCA	carrier
FANCG	carrier
G6PD	carrier
GALC	carrier
GALT	carrier
GJB6	carrier
GNPTAB	carrier
HBA1	carrier
HBA2	carrier
HEXB	carrier
IDUA	carrier
IVD	carrier
LAMB3	carrier
MEFV	carrier
MLC1	carrier
NEB	carrier
NPC1	carrier
NTRK1	carrier
PMM2	carrier
POLG	carrier
POMGNT1	carrier
PPT1	carrier
SLC12A3	carrier
SLC17A5	carrier
SLC22A5	carrier
SMPD1	carrier
STAR	carrier
TMPRSS3	carrier
TPP1	carrier
TRMU	carrier
USH2A	carrier
WNT10A	carrier
CLRN1	carrier
# === Pharmacogenomics (20 genes) ===
CYP2D6	pgx
CYP2C19	pgx
CYP2C9	pgx
CYP1A2	pgx
CYP3A4	pgx
CYP3A5	pgx
CYP1A1	pgx
CYP2B6	pgx
SLCO1B1	pgx
DPYD	pgx
TPMT	pgx
NUDT15	pgx
UGT1A1	pgx
VKORC1	pgx
ABCB1	pgx
NAT2	pgx
GSTT1	pgx
GSTM1	pgx
BCHE	pgx
HLA-B	pgx
# === Metabolic/endocrine (15 genes) ===
TCF7L2	metabolic
PPARG	metabolic
KCNJ11	metabolic
SLC30A8	metabolic
HNF1B	metabolic
HNF4A	metabolic
GCK	metabolic
INS	metabolic
IRS1	metabolic
TSHR	metabolic
TG	metabolic
TPO	metabolic
SLC5A5	metabolic
MC4R	metabolic
LEP	metabolic
# === Immune/HLA system (10 genes) ===
HLA-A	immune
HLA-C	immune
HLA-DRB1	immune
HLA-DQB1	immune
HLA-DPB1	immune
IL10	immune
IL1B	immune
CTLA4	immune
PTPN22	immune
FOXP3	immune
# === GWAS well-studied common disease genes (30 genes) ===
SORT1	gwas
