# Carrier screening gene metadata
# Source: ACMG, GeneReviews, OMIM, gnomAD carrier frequencies
# Columns: gene, condition_name, inheritance, carrier_frequency, acmg_recommended
gene	condition_name	inheritance	carrier_frequency	acmg_recommended
CFTR	Cystic fibrosis	AR	1 in 25 (European)	1
HBB	Sickle cell disease / Beta-thalassemia	AR	1 in 12 (African American)	1
SMN1	Spinal muscular atrophy	AR	1 in 50	1
HEXA	Tay-Sachs disease	AR	1 in 30 (Ashkenazi Jewish)	1
GBA1	Gaucher disease	AR	1 in 18 (Ashkenazi Jewish)	1
FMR1	Fragile X syndrome	X-linked	1 in 250 (female premutation)	1
PAH	Phenylketonuria (PKU)	AR	1 in 50	1
GJB2	Non-syndromic hearing loss (DFNB1)	AR	1 in 33	1
ASPA	Canavan disease	AR	1 in 40 (Ashkenazi Jewish)	0
GAA	Pompe disease	AR	1 in 100	0
SLC26A4	Pendred syndrome / DFNB4	AR	1 in 50	0
BCKDHA	Maple syrup urine disease	AR	1 in 100	0
FANCC	Fanconi anemia type C	AR	1 in 89 (Ashkenazi Jewish)	0
BLM	Bloom syndrome	AR	1 in 100 (Ashkenazi Jewish)	0
MCOLN1	Mucolipidosis type IV	AR	1 in 100 (Ashkenazi Jewish)	0
ABCC8	Familial hyperinsulinism	AR	1 in 100	0
ACADM	Medium-chain acyl-CoA dehydrogenase deficiency	AR	1 in 65	0
ASL	Argininosuccinic aciduria	AR	1 in 150	0
CLN3	CLN3 disease (Batten disease)	AR	1 in 200	0
DHCR7	Smith-Lemli-Opitz syndrome	AR	1 in 30	0
ELP1	Familial dysautonomia	AR	1 in 30 (Ashkenazi Jewish)	0
ERCC6	Cockayne syndrome type B	AR	1 in 200	0
FANCA	Fanconi anemia type A	AR	1 in 100	0
FANCG	Fanconi anemia type G	AR	1 in 200	0
G6PD	G6PD deficiency	X-linked	1 in 10 (African, Mediterranean)	0
GALC	Krabbe disease	AR	1 in 150	0
GALT	Galactosemia	AR	1 in 70	0
GJB6	Hearing loss (DFNB1, digenic with GJB2)	AR	1 in 100	0
GNPTAB	Mucolipidosis II/III	AR	1 in 200	0
HBA1	Alpha-thalassemia	AR	1 in 30 (SE Asian, African)	0
HBA2	Alpha-thalassemia	AR	1 in 30 (SE Asian, African)	0
HEXB	Sandhoff disease	AR	1 in 300	0
IDUA	Mucopolysaccharidosis type I (Hurler)	AR	1 in 100	0
IVD	Isovaleric acidemia	AR	1 in 200	0
LAMB3	Junctional epidermolysis bullosa	AR	1 in 200	0
MEFV	Familial Mediterranean fever	AR	1 in 5 (Mediterranean)	0
NEB	Nemaline myopathy	AR	1 in 100	0
NPC1	Niemann-Pick disease type C	AR	1 in 120	0
NTRK1	Congenital insensitivity to pain with anhidrosis	AR	1 in 200	0
PMM2	Congenital disorder of glycosylation type Ia	AR	1 in 80	0
POLG	POLG-related mitochondrial disorders	AR	1 in 100	0
POMGNT1	Muscle-eye-brain disease	AR	1 in 200	0
PPT1	CLN1 disease (infantile neuronal ceroid lipofuscinosis)	AR	1 in 200	0
SLC12A3	Gitelman syndrome	AR	1 in 100	0
SLC17A5	Sialic acid storage disease	AR	1 in 200	0
SLC22A5	Systemic primary carnitine deficiency	AR	1 in 100	0
SMPD1	Niemann-Pick disease type A/B	AR	1 in 80 (Ashkenazi Jewish)	0
STAR	Congenital lipoid adrenal hyperplasia	AR	1 in 200	0
TMPRSS3	Non-syndromic hearing loss (DFNB8/10)	AR	1 in 200	0
TPP1	CLN2 disease (late-infantile neuronal ceroid lipofuscinosis)	AR	1 in 200	0
TRMU	Transient infantile liver failure	AR	1 in 200	0
USH2A	Usher syndrome type 2A	AR	1 in 50	0
WNT10A	Tooth agenesis / ectodermal dysplasia	AR	1 in 30	0
CLRN1	Usher syndrome type 3A	AR	1 in 100 (Ashkenazi Jewish)	0
MLC1	Megalencephalic leukoencephalopathy with subcortical cysts	AR	1 in 200	0
DYNC1H1	Autosomal dominant mental retardation 13	AD	.	0
